101,PCOLCOTSEPBOL100UNI,Cotonetes Septona Bolsa 100 Unidades,SI,cotonetes-septona-bolsa-100-unidades
102,PCOLCOTSEPBOL200UNI+100,Cotonetes Septona Bolsa 200 Unidades + 100 gratis,SI,cotonetes-septona-bolsa-200-unidades--100-gratis
103,PCOLCOTSEPMAQ100UNI,Cotonetes Septona Maquillaje 100 Unidades,SI,cotonetes-septona-maquillaje-100-unidades
104,PCOLCOTSEPPOT100UNI,Cotonetes Septona Pote 100 Unidades,SI,cotonetes-septona-pote-100-unidades
105,PCOLCOTSEPPOT200UNI,Cotonetes Septona Pote 200 Unidades,SI,cotonetes-septona-pote-200-unidades
107,PCOLCOTSEPPOTKID100UNI,Cotonetes Septona Pote Kids 100 Unidades,SI,cotonetes-septona-pote-kids-100-unidades
108,PCOLDISALGSEPX100UNI,Discos de Algodón Septona 100 Pza,SI,discos-de-algodn-septona-100-pza
109,PCOLDISALGSEPX60+60UNI,Discos de Algodón Septona 60+60 Pza,SI,discos-de-algodn-septona-6060-pza
110,PCOLDISALGSEPX70UNI,Discos de Algodón Septona 70 Pza,SI,discos-de-algodn-septona-70-pza
111,PCOLDISALGXLSEPDOBX40UNI,Discos de Algodón Septona XL Doble Cara,SI,discos-de-algodn-septona-xl-doble-cara
112,PCOLENVMUEANA100MLX1,Envase para muestras de análisis 100 ml - TAPA ROJA,SI,envase-para-muestras-de-anlisis-100-ml---tapa-roja
201,PCOMB__COM100,Complejo B x 100 comprimidos,si,complejo-b-x-100-comprimidos
202,PCOT100240SUS100,Cotrimoxazol 200 mg. / 40 mg. / 5 ml. Suspension x 1 Fco. x 100 ml.,si,cotrimoxazol-200-mg--40-mg--5-ml-suspension-x-1-fco-x-100-ml
203,PCOT480COM100,Cotrimoxazol 400 mg. / 80 mg. x 100 comprimidos,si,cotrimoxazol-400-mg--80-mg-x-100-comprimidos
204,PCOT480SUS100,Cotrimoxazol Forte 400 mg. / 80 mg. / 5 ml. Suspension x 1 Fco. x 100 ml.,si,cotrimoxazol-forte-400-mg--80-mg--5-ml-suspension-x-1-fco-x-100-ml
205,PCOT960COM100,Cotrimoxazol Forte 800 mg. / 160 mg. x 100 comprimidos,si,cotrimoxazol-forte-800-mg--160-mg-x-100-comprimidos
208,PDEL100___SUS120,Deltagel NF Suspensión x 1 Fco. x 120 ml.,si,deltagel-nf-suspensin-x-1-fco-x-120-ml
209,PDELMS_SUS200,DELTAGEL MS (Magaldrato+Simeticona) 1080mg+200mg/10 mL Suspensión 200 ml,si,deltagel-ms-magaldratosimeticona-1080mg200mg10-ml-suspensin-200-ml
210,PDEX0.1SEM_10,Dexametasona 0.1% Crema Dérmica x 1 tubo x 10 grs.,si,dexametasona-01porciento-crema-drmica-x-1-tubo-x-10-grs
211,PDEX0.5COM100,Dexametasona 0.5 mg. x 100 comprimidos,si,dexametasona-05-mg-x-100-comprimidos
